Order ID,Order Date,Company Name,Product ID,Location,Dept,Qty,Purchaser,Phone Number,Email,Text Msg,Time Zone
32918,15.06.2018,Shufflester,5,Brazil,Research and Development,429,Elonore Morena,329-824-1720,emorena0@lycos.com,true,America/Sao_Paulo
38943,27.04.2018,Ainyx,7,Australia,Research and Development,2149,Marylin Flook,282-787-9142,mflook1@alexa.com,true,Australia/Sydney
30441,07.09.2018,Vinte,10,Canada,Support,2909,Darrin Emburey,903-624-3020,demburey2@reuters.com,false,America/Montreal
32300,10.12.2018,Skaboo,1,Argentina,Accounting,2434,Nikkie Gawith,175-468-8629,ngawith3@utexas.edu,true,America/Argentina/Cordoba
33468,05.06.2018,Babblestorm,9,Germany,Support,2563,Jacklyn Cleeton,325-657-7371,jcleeton4@oracle.com,false,Europe/Berlin
37645,16.11.2018,Cogibox,5,Mexico,Marketing,1356,Ally Dyas,398-310-9451,adyas5@dropbox.com,true,America/Mexico_City
33135,28.09.2018,Wikido,9,Brazil,Engineering,2396,Sylas Ouchterlony,943-344-0745,souchterlony6@who.int,true,America/Sao_Paulo
31204,23.03.2018,Skyvu,5,Argentina,,1929,Dee dee Campany,303-789-0707,ddee7@blogger.com,true,America/Argentina/Cordoba
31589,18.11.2018,Rooxo,8,Japan,Services,157,Vanya Graybeal,157-540-0375,vgraybeal8@telegraph.co.uk,false,Asia/Tokyo
33303,01.02.2018,Skibox,5,Brazil,,590,Allys Lally,983-490-1247,alally9@ed.gov,true,America/Recife
39274,25.12.2018,Yabox,5,Japan,Accounting,172,Millie Kerby,128-684-6473,mkerbya@whitehouse.gov,true,Asia/Tokyo
33040,21.01.2018,Camimbo,5,United Kingdom,Sales,2967,Danell Moyles,931-487-0397,dmoylesb@un.org,true,Europe/London
33029,28.03.2018,Quimm,4,France,Support,1482,Lief Eilert,841-912-7327,leilertc@psu.edu,true,Europe/Paris
34733,03.10.2018,Muxo,8,Brazil,Legal,534,Mela Voyce,829-783-8473,mvoyced@fotki.com,false,America/Sao_Paulo
36408,11.05.2018,Einti,3,Argentina,Training,1267,Lorrayne Draper,546-173-7997,ldrapere@yahoo.com,false,America/Argentina/Cordoba
